ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
395.8,2577,1261,1521761,178581,12001519,37310464,1518912
396.8,2589,1264,1524233,179488,12001519,37310464,1516784
397.8,2604,1265,1526983,180427,12001519,37310464,1522688
398.8,2618,1268,1529566,181317,12001519,37310464,1525040
399.9,2634,1270,1532147,182274,12001519,37310464,1529040
400.9,2650,1273,1534708,183236,12001519,37457920,1520176
401.9,2661,1278,1537074,184159,12001519,37490688,1517600
402.9,2670,1280,1539389,184989,12001519,37965824,1498624
403.9,2684,1280,1541272,185772,12001519,38244352,1491104
405.0,2690,1287,1544557,186933,12001519,38244352,1541840
406.0,2700,1297,1547173,187908,12001519,38412288,1512688
407.0,2717,1300,1549701,188827,12001519,38412288,1524192
408.0,2729,1305,1552256,189761,12001519,38461440,1518576
409.0,2747,1307,1554659,190705,12001519,38576128,1519248
410.1,2762,1309,1557083,191640,12001519,38576128,1515952
411.1,2772,1311,1559485,192575,12001519,38625280,1517072
412.1,2784,1315,1561956,193468,12001519,38674432,1512688
413.1,2795,1317,1564467,194445,12001519,38674432,1517088
414.1,2805,1321,1566872,195344,12001519,38723584,1508544
415.2,2822,1324,1569374,196221,12001519,38723584,1511664
416.2,2838,1327,1571988,197095,12001519,38772736,1515264
417.2,2857,1331,1574612,198014,12001519,38821888,1513600
418.2,2871,1335,1577036,198915,12001519,38821888,1517952
419.2,2885,1337,1579464,199883,12001519,38821888,1521168
420.3,2899,1342,1581681,200733,12001519,38821888,1517088
421.3,2909,1345,1583585,201457,12001519,38821888,1491584
422.3,2918,1350,1585510,202137,12001519,38821888,1486288
423.3,2929,1354,1589098,203432,12001519,38821888,1538304
424.3,2941,1361,1591857,204396,12001519,38838272,1515072
425.3,2954,1365,1594238,205284,12001519,38838272,1516512
426.4,2971,1367,1596691,206210,12001519,38838272,1510384
427.4,2989,1370,1599114,207150,12001519,38838272,1515536
428.4,3001,1374,1601402,208029,12001519,38838272,1508272
429.4,3012,1377,1603700,208901,12001519,38838272,1507040
430.4,3022,1382,1606429,209890,12001519,38838272,1513008
431.5,3036,1382,1608734,210768,12001519,38838272,1503504
432.5,3053,1383,1611308,211745,12001519,38838272,1508464
433.5,3073,1386,1613987,212661,12001519,38838272,1512688
434.5,3091,1388,1616521,213523,12001519,38838272,1517296
435.5,3116,1389,1619245,214482,12001519,38838272,1524288
436.6,3134,1391,1621729,215435,12001519,38838272,1511280
437.6,3146,1394,1624148,216353,12001519,38838272,1506704
438.6,3154,1397,1626214,217121,12001519,38838272,1496048
439.6,3166,1400,1628460,217968,12001519,38838272,1490704
440.6,3175,1403,1631027,218865,12001519,38838272,1521552
441.6,3186,1412,1634300,220044,12001519,38875136,1528224
442.7,3208,1412,1636678,220899,12001519,38875136,1518784
443.7,3222,1414,1638891,221714,12001519,38875136,1507024
444.7,3236,1417,1641417,222673,12001519,38875136,1505040
445.7,3247,1421,1643929,223628,12001519,38875136,1506896
446.8,3258,1424,1646445,224600,12001519,38875136,1510032
447.8,3272,1427,1649004,225542,12001519,38875136,1508032
448.8,3285,1429,1651607,226500,12001519,38875136,1513600
449.8,3295,1434,1654115,227477,12001519,38875136,1516560
450.8,3311,1436,1656534,228385,12001519,38875136,1514288
451.9,3323,1439,1659149,229277,12001519,38875136,1509600
452.9,3336,1443,1661828,230224,12001519,38875136,1519408
453.9,3351,1445,1664576,231168,12001519,38875136,1519360
454.9,3362,1449,1666915,232088,12001519,38875136,1519776
455.9,3376,1450,1669369,233020,12001519,38875136,1535248
457.0,3391,1455,1671672,233848,12001519,38875136,1521568
458.0,3404,1457,1673454,234539,12001519,38875136,1491968
459.0,3413,1463,1676747,235703,12001519,38875136,1572736
460.0,3425,1469,1679445,236681,12001519,38875136,1584208
461.0,3441,1472,1681803,237573,12001519,38875136,1559488
462.1,3460,1475,1684172,238468,12001519,38875136,1549968
463.1,3476,1477,1686709,239432,12001519,38875136,1544784
464.1,3490,1480,1689325,240363,12001519,38875136,1550336
465.1,3502,1482,1691867,241256,12001519,38875136,1556032
466.1,3517,1484,1694352,242126,12001519,38875136,1560384
467.1,3529,1488,1696954,243033,12001519,38875136,1559936
468.2,3548,1490,1699418,243987,12001519,38875136,1552816
469.2,3565,1492,1701905,244931,12001519,38875136,1554448
470.2,3578,1496,1704244,245776,12001519,38875136,1551824
471.2,3595,1500,1706876,246734,12001519,38875136,1567856
472.3,3613,1504,1709580,247702,12001519,38875136,1505152
