ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
297.1,1311,991,1257743,93976,12001519,29761536,1779760
298.1,1321,995,1260633,94647,12001519,29761536,1781168
299.2,1334,1001,1268100,95362,12001519,30007296,1850752
300.2,1345,1006,1270627,96096,12001519,30056448,1799632
301.2,1357,1008,1272956,96806,12001519,30056448,1729424
302.2,1367,1010,1275856,97581,12001519,30056448,1718128
303.2,1379,1011,1278762,98378,12001519,30056448,1720592
304.3,1385,1016,1281228,99085,12001519,30056448,1714512
305.3,1400,1018,1284398,99929,12001519,30056448,1723648
306.3,1408,1022,1287313,100660,12001519,30056448,1723744
307.3,1420,1024,1290536,101526,12001519,30056448,1726336
308.4,1430,1028,1293392,102358,12001519,30056448,1719904
309.4,1441,1031,1296447,103185,12001519,30056448,1715104
310.4,1449,1035,1298921,103940,12001519,30056448,1720400
311.4,1465,1037,1302098,104805,12001519,30056448,1722848
312.4,1472,1042,1304625,105561,12001519,30056448,1719008
313.5,1483,1047,1307782,106395,12001519,30056448,1718320
314.5,1497,1047,1310708,107117,12001519,30056448,1717456
315.5,1505,1053,1313916,107895,12001519,30056448,1723728
316.5,1516,1053,1316526,108669,12001519,30056448,1724496
317.5,1531,1053,1319628,109434,12001519,30056448,1692128
318.5,1543,1054,1322700,110248,12001519,30056448,1707360
319.6,1552,1056,1325425,111001,12001519,30056448,1706832
320.6,1560,1059,1328031,111708,12001519,30056448,1705520
321.6,1568,1062,1330502,112512,12001519,30056448,1723280
322.6,1579,1063,1333069,113273,12001519,30056448,1730832
323.6,1590,1066,1336058,114101,12001519,30056448,1736960
324.6,1595,1070,1338498,114889,12001519,30056448,1731392
325.7,1605,1071,1341308,115678,12001519,30056448,1729232
326.7,1617,1075,1344247,116523,12001519,30056448,1724432
327.7,1622,1079,1346835,117279,12001519,30056448,1718112
328.7,1636,1084,1349725,118074,12001519,30056448,1719152
329.7,1647,1086,1352154,118774,12001519,30056448,1714320
330.8,1665,1090,1355144,119520,12001519,30056448,1712592
331.8,1676,1090,1357558,120181,12001519,30056448,1686816
332.8,1685,1092,1359984,120839,12001519,30056448,1674976
333.8,1693,1094,1362872,121587,12001519,30056448,1678160
334.8,1703,1102,1366773,123023,12001519,30961664,1791696
335.8,1714,1106,1369176,123975,12001519,30961664,1796720
336.9,1729,1108,1371557,124888,12001519,30961664,1769120
337.9,1740,1113,1374136,125849,12001519,30961664,1761504
338.9,1752,1116,1376502,126762,12001519,30961664,1772944
339.9,1764,1120,1378930,127731,12001519,30961664,1773216
